RecSN,dtf,Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,ID,site.code,array.code,combo,counter,first_or_last
2017-6039,2019-03-29T01:05:00Z,BB24,SJ_SJG_1_J,140.33,140.33,2019UP,NA,37.93,-121.33,4.49,77,1042519,A14,A14,BB24A14,1,TRUE
2015-6034,2019-03-30T15:49:11Z,BB24,SJ_MAC_1_J,123.23,123.23,2019UP,NA,38.01,-121.46,4.49,77,1123873,A15a,A15,BB24A15a,1,TRUE
2017-6033,2019-03-30T16:20:57Z,BB24,SJ_MAC_4_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.49,77,1124675,A15b,A15,BB24A15b,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB25,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.9,78,NA,REL,REL,BB25REL,1,FALSE
156014,2019-03-01T10:06:12Z,BB25,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.9,78,27056,A1,A1,BB25A1,1,TRUE
2017-6032,2019-03-13T17:07:07Z,BB25,SJ_Mud_SL_Conf_J,262.39,262.39,2019UP,NA,37.33,-120.95,4.9,78,156489,A2,A2,BB25A2,1,TRUE
2017-6013,2019-03-14T03:24:02Z,BB25,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.9,78,176420,A3,A3,BB25A3,1,TRUE
2015-6044,2019-03-14T04:09:55Z,BB25,SJ_Hills_RT_1_US,257.64,257.64,2019UP,NA,37.34,-120.97,4.9,78,178610,A4,A4,BB25A4,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB26,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.44,74,NA,REL,REL,BB26REL,1,FALSE
156014,2019-02-28T18:45:09Z,BB26,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.44,74,7244,A1,A1,BB26A1,1,TRUE
2017-6013,2019-03-19T06:54:12Z,BB26,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.44,74,471162,A3,A3,BB26A3,1,TRUE
20187021,2019-03-21T09:25:10Z,BB26,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.44,74,591772,A4,A4,BB26A4,1,TRUE
2017-6005,2019-03-24T00:37:31Z,BB26,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.44,74,742772,A5,A5,BB26A5,1,TRUE
156008,2019-03-24T14:49:41Z,BB26,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.44,74,778455,A6,A6,BB26A6,1,TRUE
2015-6001,2019-03-25T01:50:46Z,BB26,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,4.44,74,800474,A8,A8,BB26A8,1,TRUE
2015-6013,2019-03-25T05:02:48Z,BB26,SJ_BCA_2_J,171.74,171.74,2019UP,NA,37.73,-121.29,4.44,74,806870,A9,A9,BB26A9,1,TRUE
2017-6009,2019-03-25T07:44:43Z,BB26,SJ_Moss_2_J,163.12,163.12,2019UP,NA,37.79,-121.3,4.44,74,813149,A10,A10,BB26A10,1,TRUE
am18-6002,2019-03-25T08:53:52Z,BB26,HOR_AM1,159.42,159.42,2019UP,NA,37.8,-121.32,4.44,74,815736,A11,A11,BB26A11,1,TRUE
2017-6012,2019-03-25T09:22:19Z,BB26,OR_HOR_4_J,158.12,158.12,2019UP,NA,37.89,-121.33,4.44,74,816643,B1b,B1,BB26B1b,1,TRUE
156037,2019-03-26T15:55:25Z,BB26,CVPU_J,144.53,144.53,2019UP,NA,37.81,-121.55,4.44,74,895152,D1a,D1,BB26D1a,1,TRUE
2017-6050,2019-03-27T00:03:43Z,BB26,CC_RGD_3_J,142.72,142.72,2019UP,NA,37.83,-121.55,4.44,74,913352,E1b,E1,BB26E1b,1,TRUE
20156046,2019-03-28T16:28:04Z,BB26,CC_intake_J,142.72,142.72,2019UP,NA,37.82,-121.59,4.44,74,1022797,E2,E2,BB26E2,1,TRUE
2017-6050,2019-03-29T05:49:55Z,BB26,CC_RGD_3_J,142.72,142.72,2019UP,NA,37.83,-121.55,4.44,74,1052694,E1b,E1,BB26E1b,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB28,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.3,76,NA,REL,REL,BB28REL,1,FALSE
156014,2019-02-28T20:48:03Z,BB28,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.3,76,10873,A1,A1,BB28A1,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB29,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.44,80,NA,REL,REL,BB29REL,1,FALSE
156014,2019-03-01T05:53:48Z,BB29,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.44,80,22337,A1,A1,BB29A1,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB2A,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,6.47,89,NA,REL,REL,BB2AREL,1,FALSE
156014,2019-03-02T11:11:55Z,BB2A,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,6.47,89,41497,A1,A1,BB2AA1,1,TRUE
2017-6013,2019-03-07T08:09:58Z,BB2A,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,6.47,89,73028,A3,A3,BB2AA3,1,TRUE
2017-6015,2019-03-07T09:03:36Z,BB2A,SJ_Hills_1_J,257.23,257.23,2019UP,NA,37.34,-120.97,6.47,89,73119,A4,A4,BB2AA4,1,TRUE
2017-6005,2019-03-20T14:52:58Z,BB2A,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,6.47,89,560305,A5,A5,BB2AA5,1,TRUE
2017-6030,2019-03-21T21:08:40Z,BB2A,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,6.47,89,619508,A6,A6,BB2AA6,1,TRUE
2015-6001,2019-03-22T10:49:02Z,BB2A,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,6.47,89,645411,A8,A8,BB2AA8,1,TRUE
2017-6016,2019-03-22T13:48:28Z,BB2A,SJ_BCA_1_J,171.7,171.7,2019UP,NA,37.73,-121.29,6.47,89,656621,A9,A9,BB2AA9,1,TRUE
sm18-7023,2019-03-23T06:04:11Z,BB2A,HOR_SM1,159.42,159.42,2019UP,NA,37.8,-121.32,6.47,89,701160,A11,A11,BB2AA11,1,TRUE
2017-6007,2019-03-23T06:27:44Z,BB2A,SJ_HOR_1_J,158.45,158.45,2019UP,NA,37.81,-121.31,6.47,89,702407,A12,A12,BB2AA12,1,TRUE
2017-6028,2019-03-23T11:28:50Z,BB2A,SJ_Howard_2_J,148.16,148.16,2019UP,NA,37.87,-121.33,6.47,89,715586,A13,A13,BB2AA13,1,TRUE
2017-6004,2019-03-25T06:38:23Z,BB2A,SJ_SJG_2_J,140.33,140.33,2019UP,NA,37.93,-121.33,6.47,89,810369,A14,A14,BB2AA14,1,TRUE
2017-6001,2019-03-27T13:25:24Z,BB2A,Delt_TC_2_J,127.21,127.22,2019UP,NA,37.98,-121.46,6.47,89,950444,F1,F1,BB2AF1,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB2C,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.4,77,NA,REL,REL,BB2CREL,1,FALSE
156014,2019-02-28T18:17:23Z,BB2C,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.4,77,1630,A1,A1,BB2CA1,1,TRUE
2017-6013,2019-03-02T09:31:48Z,BB2C,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.4,77,39863,A3,A3,BB2CA3,1,TRUE
20187021,2019-03-18T23:20:00Z,BB2C,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.4,77,455417,A4,A4,BB2CA4,1,TRUE
2017-6005,2019-03-19T15:18:27Z,BB2C,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.4,77,510284,A5,A5,BB2CA5,1,TRUE
156008,2019-03-30T06:59:17Z,BB2C,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.4,77,1107705,A6,A6,BB2CA6,1,TRUE
2015-6001,2019-03-30T20:52:16Z,BB2C,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,4.4,77,1131592,A8,A8,BB2CA8,1,TRUE
2015-6013,2019-03-30T23:37:19Z,BB2C,SJ_BCA_2_J,171.74,171.74,2019UP,NA,37.73,-121.29,4.4,77,1134988,A9,A9,BB2CA9,1,TRUE
sm18-7023,2019-03-31T03:14:01Z,BB2C,HOR_SM1,159.42,159.42,2019UP,NA,37.8,-121.32,4.4,77,1141155,A11,A11,BB2CA11,1,TRUE
2017-6007,2019-03-31T03:37:40Z,BB2C,SJ_HOR_1_J,158.45,158.45,2019UP,NA,37.81,-121.31,4.4,77,1142126,A12,A12,BB2CA12,1,TRUE
2017-6028,2019-03-31T07:12:16Z,BB2C,SJ_Howard_2_J,148.16,148.16,2019UP,NA,37.87,-121.33,4.4,77,1148925,A13,A13,BB2CA13,1,TRUE
2017-6039,2019-03-31T16:47:37Z,BB2C,SJ_SJG_1_J,140.33,140.33,2019UP,NA,37.93,-121.33,4.4,77,1170239,A14,A14,BB2CA14,1,TRUE
2015-6034,2019-04-02T09:48:21Z,BB2C,SJ_MAC_1_J,123.23,123.23,2019UP,NA,38.01,-121.46,4.4,77,1285628,A15a,A15,BB2CA15a,1,TRUE
2017-6037,2019-04-02T19:37:13Z,BB2C,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,4.4,77,1308742,A15b,A15,BB2CA15b,1,TRUE
2017-6054,2019-04-05T21:22:08Z,BB2C,SJ_JP_4_J,93.74,93.74,2019UP,NA,38.05,-121.68,4.4,77,1486311,A16a,A16,BB2CA16a,1,TRUE
2017-6051,2019-04-05T21:33:30Z,BB2C,SJ_JP_8_J,93.04,93.04,2019UP,NA,38.04,-121.69,4.4,77,1486862,A16b,A16,BB2CA16b,1,TRUE
2017-6054,2019-04-06T02:24:05Z,BB2C,SJ_JP_4_J,93.74,93.74,2019UP,NA,38.05,-121.68,4.4,77,1498248,A16a,A16,BB2CA16a,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB2D,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.7,78,NA,REL,REL,BB2DREL,1,FALSE
156014,2019-02-28T18:24:13Z,BB2D,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.7,78,4514,A1,A1,BB2DA1,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB32,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.4,76,NA,REL,REL,BB32REL,1,FALSE
156014,2019-02-28T18:20:16Z,BB32,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.4,76,2927,A1,A1,BB32A1,1,TRUE
2017-6013,2019-03-01T14:17:52Z,BB32,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.4,76,30998,A3,A3,BB32A3,1,TRUE
20187021,2019-03-24T07:40:12Z,BB32,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.4,76,759442,A4,A4,BB32A4,1,TRUE
2017-6005,2019-03-25T05:22:29Z,BB32,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.4,76,807573,A5,A5,BB32A5,1,TRUE
156008,2019-03-30T07:25:41Z,BB32,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.4,76,1108839,A6,A6,BB32A6,1,TRUE
sm18-7023,2019-03-31T21:53:34Z,BB32,HOR_SM1,159.42,159.42,2019UP,NA,37.8,-121.32,4.4,76,1178894,A11,A11,BB32A11,1,TRUE
2015-6006,2019-03-31T22:14:33Z,BB32,OR_HOR_3_J,158.12,158.12,2019UP,NA,37.81,-121.33,4.4,76,1179599,B1b,B1,BB32B1b,1,TRUE
2017-6050,2019-04-02T04:00:01Z,BB32,CC_RGD_3_J,142.72,142.72,2019UP,NA,37.83,-121.55,4.4,76,1268775,E1b,E1,BB32E1b,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB34,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,6.1,83,NA,REL,REL,BB34REL,1,FALSE
156014,2019-02-28T18:12:59Z,BB34,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,6.1,83,275,A1,A1,BB34A1,1,TRUE
2017-6013,2019-03-16T07:54:03Z,BB34,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,6.1,83,262913,A3,A3,BB34A3,1,TRUE
20187021,2019-03-17T15:07:59Z,BB34,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,6.1,83,356374,A4,A4,BB34A4,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB3A,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.41,77,NA,REL,REL,BB3AREL,1,FALSE
156014,2019-02-28T18:43:15Z,BB3A,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.41,77,7095,A1,A1,BB3AA1,1,TRUE
2017-6013,2019-03-14T11:31:12Z,BB3A,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,4.41,77,190755,A3,A3,BB3AA3,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB42,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.22,79,NA,REL,REL,BB42REL,1,FALSE
2017-6031,2019-02-28T18:27:14Z,BB42,SJ_Blw_Release_1_J,270.52,270.52,2019UP,NA,37.31,-120.93,5.22,79,5353,A1,A1,BB42A1,1,TRUE
2017-6032,2019-03-21T11:07:05Z,BB42,SJ_Mud_SL_Conf_J,262.39,262.39,2019UP,NA,37.33,-120.95,5.22,79,596449,A2,A2,BB42A2,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB44,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.12,80,NA,REL,REL,BB44REL,1,FALSE
156014,2019-02-28T18:22:10Z,BB44,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.12,80,3808,A1,A1,BB44A1,1,TRUE
2017-6013,2019-03-15T07:13:27Z,BB44,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,5.12,80,226692,A3,A3,BB44A3,1,TRUE
20187021,2019-03-21T13:12:44Z,BB44,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,5.12,80,603364,A4,A4,BB44A4,1,TRUE
2017-6005,2019-03-21T22:32:08Z,BB44,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,5.12,80,621019,A5,A5,BB44A5,1,TRUE
2017-6030,2019-03-22T20:36:03Z,BB44,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,5.12,80,676669,A6,A6,BB44A6,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB45,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.77,83,NA,REL,REL,BB45REL,1,FALSE
156014,2019-02-28T19:32:22Z,BB45,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.77,83,8986,A1,A1,BB45A1,1,TRUE
2017-6013,2019-03-01T16:17:31Z,BB45,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,5.77,83,33328,A3,A3,BB45A3,1,TRUE
2017-6015,2019-03-02T06:35:52Z,BB45,SJ_Hills_1_J,257.23,257.23,2019UP,NA,37.34,-120.97,5.77,83,37704,A4,A4,BB45A4,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB46,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.7,83,NA,REL,REL,BB46REL,1,FALSE
156014,2019-02-28T18:13:25Z,BB46,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.7,83,345,A1,A1,BB46A1,1,TRUE
2017-6032,2019-03-21T06:53:25Z,BB46,SJ_Mud_SL_Conf_J,262.39,262.39,2019UP,NA,37.33,-120.95,5.7,83,585197,A2,A2,BB46A2,1,TRUE
2017-6013,2019-03-21T09:12:40Z,BB46,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,5.7,83,591296,A3,A3,BB46A3,1,TRUE
20187021,2019-03-21T11:56:59Z,BB46,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,5.7,83,599334,A4,A4,BB46A4,1,TRUE
2017-6005,2019-04-05T09:33:41Z,BB46,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,5.7,83,1456262,A5,A5,BB46A5,1,TRUE
156008,2019-04-05T23:40:43Z,BB46,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,5.7,83,1492387,A6,A6,BB46A6,1,TRUE
2017-6020,2019-04-06T08:49:20Z,BB46,SJ_Durhamferry_RelRec_J,183.55,183.55,2019UP,NA,37.68,-121.26,5.7,83,1515548,A7,A7,BB46A7,1,TRUE
2015-6001,2019-04-06T09:33:32Z,BB46,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,5.7,83,1516639,A8,A8,BB46A8,1,TRUE
2015-6013,2019-04-06T14:25:40Z,BB46,SJ_BCA_2_J,171.74,171.74,2019UP,NA,37.73,-121.29,5.7,83,1528964,A9,A9,BB46A9,1,TRUE
2017-6009,2019-04-06T17:24:38Z,BB46,SJ_Moss_2_J,163.12,163.12,2019UP,NA,37.79,-121.3,5.7,83,1536078,A10,A10,BB46A10,1,TRUE
sm18-7023,2019-04-06T18:23:59Z,BB46,HOR_SM1,159.42,159.42,2019UP,NA,37.8,-121.32,5.7,83,1538352,A11,A11,BB46A11,1,TRUE
2015-6006,2019-04-06T18:46:14Z,BB46,OR_HOR_3_J,158.12,158.12,2019UP,NA,37.81,-121.33,5.7,83,1539295,B1b,B1,BB46B1b,1,TRUE
2015-6041,2019-04-07T09:09:55Z,BB46,CC_RGU1_J,142.72,142.72,2019UP,NA,37.82,-121.55,5.7,83,1577580,E1a,E1,BB46E1a,1,TRUE
2017-6050,2019-04-07T09:12:01Z,BB46,CC_RGD_3_J,142.72,142.72,2019UP,NA,37.83,-121.55,5.7,83,1577701,E1b,E1,BB46E1b,1,TRUE
20156046,2019-04-08T10:38:31Z,BB46,CC_intake_J,142.72,142.72,2019UP,NA,37.82,-121.59,5.7,83,1646189,E2,E2,BB46E2,1,TRUE
2017-6058,2019-04-09T06:53:21Z,BB46,CC_RGD_4_J,142.72,142.72,2019UP,NA,37.83,-121.55,5.7,83,1686200,E1b,E1,BB46E1b,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB48,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.4,82,NA,REL,REL,BB48REL,1,FALSE
156014,2019-02-28T19:24:39Z,BB48,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.4,82,8815,A1,A1,BB48A1,1,TRUE
2017-6013,2019-03-01T13:07:54Z,BB48,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,5.4,82,29703,A3,A3,BB48A3,1,TRUE
2017-6015,2019-03-01T15:44:32Z,BB48,SJ_Hills_1_J,257.23,257.23,2019UP,NA,37.34,-120.97,5.4,82,32846,A4,A4,BB48A4,1,TRUE
18031,2019-04-06T10:25:14Z,BB48,SJ_BlwCrowsLanding_2_J,239.9,239.9,2019UP,NA,37.43,-121.01,5.4,82,1517945,A5,A5,BB48A5,1,TRUE
2017-6030,2019-04-06T21:33:27Z,BB48,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,5.4,82,1546425,A6,A6,BB48A6,1,TRUE
2015-6001,2019-04-07T06:42:35Z,BB48,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,5.4,82,1569245,A8,A8,BB48A8,1,TRUE
2015-6013,2019-04-07T09:28:52Z,BB48,SJ_BCA_2_J,171.74,171.74,2019UP,NA,37.73,-121.29,5.4,82,1578692,A9,A9,BB48A9,1,TRUE
sm18-7023,2019-04-07T13:10:49Z,BB48,HOR_SM1,159.42,159.42,2019UP,NA,37.8,-121.32,5.4,82,1591422,A11,A11,BB48A11,1,TRUE
2017-6007,2019-04-07T13:36:59Z,BB48,SJ_HOR_1_J,158.45,158.45,2019UP,NA,37.81,-121.31,5.4,82,1592561,A12,A12,BB48A12,1,TRUE
2017-6028,2019-04-07T17:23:45Z,BB48,SJ_Howard_2_J,148.16,148.16,2019UP,NA,37.87,-121.33,5.4,82,1603212,A13,A13,BB48A13,1,TRUE
2017-6004,2019-04-07T20:30:46Z,BB48,SJ_SJG_2_J,140.33,140.33,2019UP,NA,37.93,-121.33,5.4,82,1611517,A14,A14,BB48A14,1,TRUE
2015-6034,2019-04-08T23:44:37Z,BB48,SJ_MAC_1_J,123.23,123.23,2019UP,NA,38.01,-121.46,5.4,82,1675024,A15a,A15,BB48A15a,1,TRUE
2017-6037,2019-04-09T00:34:52Z,BB48,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.4,82,1676149,A15b,A15,BB48A15b,1,TRUE
2015-6034,2019-04-09T04:43:07Z,BB48,SJ_MAC_1_J,123.23,123.23,2019UP,NA,38.01,-121.46,5.4,82,1681673,A15a,A15,BB48A15a,1,TRUE
2017-6037,2019-04-09T09:13:30Z,BB48,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.4,82,1690853,A15b,A15,BB48A15b,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB4B,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.02,78,NA,REL,REL,BB4BREL,1,FALSE
156014,2019-02-28T19:27:05Z,BB4B,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.02,78,8880,A1,A1,BB4BA1,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB4D,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.2,80,NA,REL,REL,BB4DREL,1,FALSE
156014,2019-03-03T22:51:29Z,BB4D,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.2,80,57589,A1,A1,BB4DA1,1,TRUE
2017-6013,2019-03-08T20:34:22Z,BB4D,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,5.2,80,83222,A3,A3,BB4DA3,1,TRUE
2015-6044,2019-03-08T21:45:35Z,BB4D,SJ_Hills_RT_1_US,257.64,257.64,2019UP,NA,37.34,-120.97,5.2,80,83916,A4,A4,BB4DA4,1,TRUE
2017-6005,2019-03-09T05:48:59Z,BB4D,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,5.2,80,88366,A5,A5,BB4DA5,1,TRUE
156008,2019-03-10T01:37:47Z,BB4D,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,5.2,80,96958,A6,A6,BB4DA6,1,TRUE
2017-6036,2019-03-10T22:34:32Z,BB4D,SJ_Durhamferry_2_J,181.8,181.8,2019UP,NA,37.69,121.27,5.2,80,105026,A8,A8,BB4DA8,1,TRUE
2017-6024,2019-03-11T04:13:42Z,BB4D,SJ_Moss_1_J,163.12,163.12,2019UP,NA,37.79,-121.3,5.2,80,105381,A10,A10,BB4DA10,1,TRUE
sm18-7026,2019-03-11T05:15:15Z,BB4D,HOR_SM3,159.42,159.42,2019UP,NA,37.8,-121.32,5.2,80,105389,A11,A11,BB4DA11,1,TRUE
2017-6038,2019-03-11T05:34:03Z,BB4D,OR_HOR_1_J,158.12,158.12,2019UP,NA,37.81,-121.33,5.2,80,105402,B1a,B1,BB4DB1a,1,TRUE
2015-6006,2019-03-11T05:34:43Z,BB4D,OR_HOR_3_J,158.12,158.12,2019UP,NA,37.81,-121.33,5.2,80,105405,B1b,B1,BB4DB1b,1,FALSE
2017-6038,2019-03-11T05:34:48Z,BB4D,OR_HOR_1_J,158.12,158.12,2019UP,NA,37.81,-121.33,5.2,80,105407,B1a,B1,BB4DB1a,1,FALSE
2015-6006,2019-03-11T05:34:48Z,BB4D,OR_HOR_3_J,158.12,158.12,2019UP,NA,37.81,-121.33,5.2,80,105406,B1b,B1,BB4DB1b,1,TRUE
2015-6041,2019-03-12T02:15:13Z,BB4D,CC_RGU1_J,142.72,142.72,2019UP,NA,37.82,-121.55,5.2,80,108026,E1a,E1,BB4DE1a,1,TRUE
2015-6033,2019-03-12T02:17:32Z,BB4D,CC_RGD_1_J,142.72,142.72,2019UP,NA,37.83,-121.55,5.2,80,108030,E1b,E1,BB4DE1b,1,TRUE
20156046,2019-03-29T15:18:18Z,BB4D,CC_intake_J,142.72,142.72,2019UP,NA,37.82,-121.59,5.2,80,1079017,E2,E2,BB4DE2,1,TRUE
2017-6058,2019-04-01T06:47:22Z,BB4D,CC_RGD_4_J,142.72,142.72,2019UP,NA,37.83,-121.55,5.2,80,1200740,E1b,E1,BB4DE1b,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB50,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,6.4,86,NA,REL,REL,BB50REL,1,FALSE
156014,2019-03-02T02:52:23Z,BB50,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,6.4,86,37169,A1,A1,BB50A1,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB51,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.3,79,NA,REL,REL,BB51REL,1,FALSE
156014,2019-02-28T18:17:43Z,BB51,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.3,79,1731,A1,A1,BB51A1,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB53,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.9,79,NA,REL,REL,BB53REL,1,FALSE
156014,2019-03-01T07:13:16Z,BB53,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.9,79,24029,A1,A1,BB53A1,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BB57,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.03,79,NA,REL,REL,BB57REL,1,FALSE
156014,2019-02-28T21:44:32Z,BB57,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.03,79,11876,A1,A1,BB57A1,1,TRUE
2017-6013,2019-03-20T09:58:15Z,BB57,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,5.03,79,550257,A3,A3,BB57A3,1,TRUE
20187021,2019-03-20T11:04:30Z,BB57,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,5.03,79,552425,A4,A4,BB57A4,1,TRUE
