RecSN,dtf,Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,ID,site.code,array.code,combo,counter,first_or_last
2017-6005,2019-03-25T12:57:01Z,BA64,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.9,79,823866,A5,A5,BA64A5,1,TRUE
2017-6030,2019-03-26T18:02:02Z,BA64,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.9,79,903152,A6,A6,BA64A6,1,TRUE
2017-6020,2019-03-27T06:38:29Z,BA64,SJ_Durhamferry_RelRec_J,183.55,183.55,2019UP,NA,37.68,-121.26,4.9,79,928848,A7,A7,BA64A7,1,TRUE
2015-6001,2019-03-27T07:25:27Z,BA64,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,4.9,79,930955,A8,A8,BA64A8,1,TRUE
2017-6024,2019-03-27T13:16:08Z,BA64,SJ_Moss_1_J,163.12,163.12,2019UP,NA,37.79,-121.3,4.9,79,950044,A10,A10,BA64A10,1,TRUE
sm18-7013,2019-03-27T14:13:41Z,BA64,HOR_SM2,159.42,159.42,2019UP,NA,37.8,-121.32,4.9,79,953041,A11,A11,BA64A11,1,TRUE
2017-6007,2019-03-27T14:38:48Z,BA64,SJ_HOR_1_J,158.45,158.45,2019UP,NA,37.81,-121.31,4.9,79,954261,A12,A12,BA64A12,1,TRUE
2017-6028,2019-03-28T19:50:31Z,BA64,SJ_Howard_2_J,148.16,148.16,2019UP,NA,37.87,-121.33,4.9,79,1034192,A13,A13,BA64A13,1,TRUE
2017-6039,2019-03-28T22:30:35Z,BA64,SJ_SJG_1_J,140.33,140.33,2019UP,NA,37.93,-121.33,4.9,79,1038188,A14,A14,BA64A14,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BA65,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.3,77,NA,REL,REL,BA65REL,1,FALSE
156014,2019-02-28T18:14:34Z,BA65,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.3,77,641,A1,A1,BA65A1,1,TRUE
2017-6015,2019-03-05T07:10:20Z,BA65,SJ_Hills_1_J,257.23,257.23,2019UP,NA,37.34,-120.97,4.3,77,65007,A4,A4,BA65A4,1,TRUE
Upstream_Release,2019-02-28T16:58:00Z,BA66,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.67,84,NA,REL,REL,BA66REL,1,FALSE
156014,2019-02-28T18:12:50Z,BA66,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.67,84,251,A1,A1,BA66A1,1,TRUE
2017-6013,2019-03-02T08:49:20Z,BA66,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,5.67,84,39439,A3,A3,BA66A3,1,TRUE
20187021,2019-03-14T10:04:48Z,BA66,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,5.67,84,188289,A4,A4,BA66A4,1,TRUE
