Location Name,Long,Lat
AM1,-121.3262555462701,37.807399789215545
AM2,-121.32562727993528,37.80726700364343
AM3,-121.3264130366059,37.807862804674826
AM4,-121.32686852843264,37.80839712293314
AM5*,-121.32691965295552,37.80794528204728
AM6,-121.32764309104455,37.80798202609553
AM7,-121.32704817243261,37.8087341638793
AM8,-121.32795956421657,37.808103164944626
AM9,-121.32752435527016,37.80881260148784
SM1,-121.32612821858325,37.806856506710574
SM2,-121.32675067291412,37.80735353550421
SM3,-121.32747830791712,37.807704308286716
SM4,-121.32782420805701,37.807851613341896
SM7,-121.32720789208437,37.809103500756734
SM8,-121.32754665319456,37.80826092801407
