RecSN,DetectDateTime,TagID_Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,ID
2017-6037,3/28/2019 13:18:19,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1012904
2017-6037,3/28/2019 13:18:24,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1012909
2017-6037,3/28/2019 13:18:29,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1012914
2017-6037,3/28/2019 13:18:34,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1012919
2017-6037,3/28/2019 13:18:39,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1012924
2017-6037,3/28/2019 13:18:44,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1012927
2017-6037,3/28/2019 13:18:49,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1012930
2017-6037,3/28/2019 13:18:54,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1012932
2017-6037,3/28/2019 13:18:59,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1012936
2017-6037,3/28/2019 13:19:04,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1012944
2017-6037,3/28/2019 13:19:09,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1012948
2017-6037,3/28/2019 13:19:14,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1012956
2017-6037,3/28/2019 13:19:19,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1012962
2017-6037,3/28/2019 13:19:29,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1012969
2017-6037,3/28/2019 13:19:34,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1012975
2017-6037,3/28/2019 13:20:09,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1013010
2017-6037,3/28/2019 13:20:19,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1013021
2017-6037,3/28/2019 13:20:24,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1013027
2017-6037,3/28/2019 13:20:29,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1013034
2017-6037,3/28/2019 13:20:35,BAE5,SJ_MAC_3_J,122.34,122.34,2019DS,NA,38.02,-121.46,4.71,78,1013040
2017-6037,3/28/2019 16:38:33,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1023283
2017-6037,3/28/2019 16:38:43,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1023295
2017-6037,3/28/2019 16:38:58,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1023309
2017-6037,3/28/2019 16:40:04,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1023370
2017-6037,3/28/2019 16:40:09,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1023377
2017-6037,3/28/2019 16:40:14,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1023382
2017-6037,3/28/2019 16:40:34,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1023399
2017-6037,3/28/2019 16:41:09,C2AB,SJ_MAC_3_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.7,85,1023432
