"","FirstRec","SecondRec","totals"
"267","A11","A18","0"
"268","A11","A19","0"
"269","A11","A20","0"
"270","A11","x","1"
"271","B1","B2","11"
"272","B1","C1","1"
"273","B1","D1","6"
"274","B1","E1","23"
"275","B1","E2","2"
"276","B1","A12","0"
"277","B1","A13","0"
"278","B1","A14","0"
"279","B1","A15","0"
"280","B1","F1","0"
"281","B1","A16","0"
"282","B1","A17","0"
"283","B1","A18","0"
"284","B1","A19","0"
"285","B1","A20","0"
"286","B1","x","4"
"287","B2","C1","0"
"288","B2","D1","2"
"289","B2","E1","1"
"290","B2","E2","0"
"291","B2","A12","0"
"292","B2","A13","0"
"293","B2","A14","0"
"294","B2","A15","0"
"295","B2","F1","0"
"296","B2","A16","0"
"297","B2","A17","0"
"298","B2","A18","0"
"299","B2","A19","0"
"300","B2","A20","0"
"301","B2","x","8"
"302","C1","D1","0"
"303","C1","E1","0"
"304","C1","E2","0"
"305","C1","A12","0"
"306","C1","A13","0"
"307","C1","A14","0"
"308","C1","A15","0"
"309","C1","F1","0"
"310","C1","A16","0"
"311","C1","A17","0"
"312","C1","A18","0"
"313","C1","A19","0"
"314","C1","A20","0"
"315","C1","x","2"
"316","D1","E1","3"
"317","D1","E2","0"
"318","D1","A12","0"
"319","D1","A13","0"
"320","D1","A14","0"
"321","D1","A15","0"
"322","D1","F1","0"
"323","D1","A16","0"
"324","D1","A17","0"
"325","D1","A18","0"
"326","D1","A19","0"
"327","D1","A20","0"
"328","D1","x","5"
"329","E1","E2","22"
"330","E1","A12","0"
"331","E1","A13","0"
"332","E1","A14","0"
"333","E1","A15","0"
"334","E1","F1","0"
"335","E1","A16","0"
"336","E1","A17","0"
"337","E1","A18","0"
"338","E1","A19","0"
"339","E1","A20","0"
"340","E1","x","11"
"341","E2","A12","0"
"342","E2","A13","0"
"343","E2","A14","0"
"344","E2","A15","0"
"345","E2","F1","0"
"346","E2","A16","1"
"347","E2","A17","0"
"348","E2","A18","0"
"349","E2","A19","0"
"350","E2","A20","0"
"351","E2","x","23"
"352","A12","A13","72"
"353","A12","A14","0"
"354","A12","A15","0"
"355","A12","F1","0"
"356","A12","A16","0"
"357","A12","A17","0"
"358","A12","A18","0"
"359","A12","A19","0"
"360","A12","A20","0"
"361","A12","x","1"
"362","A13","A14","76"
"363","A13","A15","0"
"364","A13","F1","0"
"365","A13","A16","0"
"366","A13","A17","0"
"367","A13","A18","0"
"368","A13","A19","0"
"369","A13","A20","0"
"370","A13","x","2"
"371","A14","A15","43"
"372","A14","F1","4"
"373","A14","A16","0"
"374","A14","A17","0"
"375","A14","A18","0"
"376","A14","A19","0"
"377","A14","A20","0"
"378","A14","x","29"
"379","A15","F1","2"
"380","A15","A16","19"
"381","A15","A17","0"
"382","A15","A18","0"
"383","A15","A19","0"
"384","A15","A20","0"
"385","A15","x","22"
"386","F1","A16","1"
"387","F1","A17","0"
"388","F1","A18","0"
"389","F1","A19","0"
"390","F1","A20","0"
"391","F1","x","5"
"392","A16","A17","0"
"393","A16","A18","0"
"394","A16","A19","0"
"395","A16","A20","0"
"396","A16","x","21"
"397","A17","A18","0"
"398","A17","A19","0"
"399","A17","A20","0"
"400","A17","x","0"
"401","A18","A19","0"
"402","A18","A20","0"
"403","A18","x","0"
"404","A19","A20","0"
"405","A19","x","0"
"406","A20","x","0"
