RecSN,dtf,Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,Surgeon,ID,site.code,array.code,combo,counter,first_or_last
Upstream_Release,2019-02-28T16:58:00Z,BA5B,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.9,78,NA,NA,REL,REL,BA5BREL,1,FALSE
156014,2019-02-28T18:14:46Z,BA5B,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.9,78,GS,714,A1,A1,BA5BA1,1,TRUE
2017-6031,2019-02-28T18:17:33Z,BA5B,SJ_Blw_Release_1_J,270.52,270.52,2019UP,NA,37.31,-120.93,4.9,78,GS,1676,A1,A1,BA5BA1,16,FALSE
2017-6032,2019-03-18T15:06:26Z,BA5B,SJ_Mud_SL_Conf_J,262.39,262.39,2019UP,NA,37.33,-120.95,4.9,78,GS,432717,A2,A2,BA5BA2,1,TRUE
2017-6032,2019-03-18T15:13:59Z,BA5B,SJ_Mud_SL_Conf_J,262.39,262.39,2019UP,NA,37.33,-120.95,4.9,78,GS,433378,A2,A2,BA5BA2,31,FALSE
20187021,2019-03-19T06:30:11Z,BA5B,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.9,78,GS,469819,A4,A4,BA5BA4,1,TRUE
2015-6011,2019-03-19T06:59:13Z,BA5B,SJ_Hills_2_J,257.06,257.06,2019UP,NA,37.21,-120.58,4.9,78,GS,471535,A4,A4,BA5BA4,115,FALSE
2017-6005,2019-03-19T13:19:19Z,BA5B,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.9,78,GS,499598,A5,A5,BA5BA5,1,TRUE
18031,2019-03-19T13:34:58Z,BA5B,SJ_BlwCrowsLanding_2_J,239.9,239.9,2019UP,NA,37.43,-121.01,4.9,78,GS,501002,A5,A5,BA5BA5,89,FALSE
156008,2019-03-20T01:19:15Z,BA5B,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.9,78,GS,537944,A6,A6,BA5BA6,1,TRUE
2017-6030,2019-03-20T01:24:12Z,BA5B,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.9,78,GS,538071,A6,A6,BA5BA6,55,FALSE
2017-6020,2019-03-20T13:45:12Z,BA5B,SJ_Durhamferry_RelRec_J,183.55,183.55,2019UP,NA,37.68,-121.26,4.9,78,GS,558281,A7,A7,BA5BA7,1,TRUE
2017-6020,2019-03-20T13:45:47Z,BA5B,SJ_Durhamferry_RelRec_J,183.55,183.55,2019UP,NA,37.68,-121.26,4.9,78,GS,558312,A7,A7,BA5BA7,4,FALSE
2015-6001,2019-03-20T14:14:27Z,BA5B,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,4.9,78,GS,559231,A8,A8,BA5BA8,1,TRUE
2017-6036,2019-03-20T14:17:25Z,BA5B,SJ_Durhamferry_2_J,181.8,181.8,2019UP,NA,37.69,121.27,4.9,78,GS,559342,A8,A8,BA5BA8,21,FALSE
2017-6016,2019-03-20T16:50:10Z,BA5B,SJ_BCA_1_J,171.7,171.7,2019UP,NA,37.73,-121.29,4.9,78,GS,564174,A9,A9,BA5BA9,1,TRUE
2017-6016,2019-03-20T16:50:55Z,BA5B,SJ_BCA_1_J,171.7,171.7,2019UP,NA,37.73,-121.29,4.9,78,GS,564204,A9,A9,BA5BA9,5,FALSE
2017-6009,2019-03-20T19:15:02Z,BA5B,SJ_Moss_2_J,163.12,163.12,2019UP,NA,37.79,-121.3,4.9,78,GS,568578,A10,A10,BA5BA10,1,TRUE
2017-6009,2019-03-20T19:16:43Z,BA5B,SJ_Moss_2_J,163.12,163.12,2019UP,NA,37.79,-121.3,4.9,78,GS,568603,A10,A10,BA5BA10,8,FALSE
am18-6006,2019-03-20T20:20:55Z,BA5B,HOR_AM2,159.42,159.42,2019UP,NA,37.8,-121.32,4.9,78,GS,569189,A11,A11,BA5BA11,1,TRUE
sm18-7017,2019-03-20T20:30:15Z,BA5B,HOR_SM7,159.42,159.42,2019UP,NA,37.8,-121.32,4.9,78,GS,569462,A11,A11,BA5BA11,116,FALSE
2017-6007,2019-03-20T20:41:32Z,BA5B,SJ_HOR_1_J,158.45,158.45,2019UP,NA,37.81,-121.31,4.9,78,GS,569705,A12,A12,BA5BA12,1,TRUE
2015-6004,2019-03-20T20:44:32Z,BA5B,SJ_HOR_2_J,158.45,158.45,2019UP,NA,37.81,-121.31,4.9,78,GS,569755,A12,A12,BA5BA12,17,FALSE
2017-6002,2019-03-20T23:35:35Z,BA5B,SJ_Howard_1_J,148.16,148.16,2019UP,NA,37.87,-121.33,4.9,78,GS,574126,A13,A13,BA5BA13,1,TRUE
2017-6002,2019-03-20T23:38:26Z,BA5B,SJ_Howard_1_J,148.16,148.16,2019UP,NA,37.87,-121.33,4.9,78,GS,574236,A13,A13,BA5BA13,23,FALSE
2017-6035,2019-03-21T01:51:03Z,BA5B,SJ_SJG_4_J,140.23,140.23,2019UP,NA,37.93,-121.33,4.9,78,GS,576964,A14,A14,BA5BA14,1,TRUE
2017-6035,2019-03-21T01:55:50Z,BA5B,SJ_SJG_4_J,140.23,140.23,2019UP,NA,37.93,-121.33,4.9,78,GS,577064,A14,A14,BA5BA14,15,FALSE
Upstream_Release,2019-02-28T16:58:00Z,BA62,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.5,78,NA,NA,REL,REL,BA62REL,1,FALSE
156014,2019-02-28T19:59:30Z,BA62,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.5,78,GS,9744,A1,A1,BA62A1,1,TRUE
156014,2019-02-28T20:05:14Z,BA62,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.5,78,GS,9904,A1,A1,BA62A1,19,FALSE
2017-6032,2019-04-05T00:53:57Z,BA62,SJ_Mud_SL_Conf_J,262.39,262.39,2019UP,NA,37.33,-120.95,4.5,78,GS,1436115,A2,A2,BA62A2,1,TRUE
2017-6032,2019-04-05T00:56:24Z,BA62,SJ_Mud_SL_Conf_J,262.39,262.39,2019UP,NA,37.33,-120.95,4.5,78,GS,1436188,A2,A2,BA62A2,16,FALSE
2018-6013,2019-04-05T02:13:25Z,BA62,SJ_Blw_Newman_2_J,259.34,259.34,2019UP,NA,37.33,-120.97,4.5,78,GS,1438645,A3,A3,BA62A3,1,TRUE
2018-6013,2019-04-05T02:17:13Z,BA62,SJ_Blw_Newman_2_J,259.34,259.34,2019UP,NA,37.33,-120.97,4.5,78,GS,1438778,A3,A3,BA62A3,12,FALSE
2017-6015,2019-04-05T03:02:15Z,BA62,SJ_Hills_1_J,257.23,257.23,2019UP,NA,37.34,-120.97,4.5,78,GS,1440522,A4,A4,BA62A4,1,TRUE
2015-6011,2019-04-05T03:06:27Z,BA62,SJ_Hills_2_J,257.06,257.06,2019UP,NA,37.21,-120.58,4.5,78,GS,1440665,A4,A4,BA62A4,24,FALSE
2017-6005,2019-04-05T09:32:51Z,BA62,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.5,78,GS,1456231,A5,A5,BA62A5,1,TRUE
18031,2019-04-05T09:42:45Z,BA62,SJ_BlwCrowsLanding_2_J,239.9,239.9,2019UP,NA,37.43,-121.01,4.5,78,GS,1456627,A5,A5,BA62A5,50,FALSE
2017-6030,2019-04-05T21:43:44Z,BA62,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.5,78,GS,1487449,A6,A6,BA62A6,1,TRUE
2017-6030,2019-04-05T21:44:59Z,BA62,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.5,78,GS,1487494,A6,A6,BA62A6,6,FALSE
2017-6016,2019-04-06T09:34:29Z,BA62,SJ_BCA_1_J,171.7,171.7,2019UP,NA,37.73,-121.29,4.5,78,GS,1516670,A9,A9,BA62A9,1,TRUE
2017-6016,2019-04-06T09:34:49Z,BA62,SJ_BCA_1_J,171.7,171.7,2019UP,NA,37.73,-121.29,4.5,78,GS,1516680,A9,A9,BA62A9,5,FALSE
2017-6024,2019-04-06T12:41:01Z,BA62,SJ_Moss_1_J,163.12,163.12,2019UP,NA,37.79,-121.3,4.5,78,GS,1523744,A10,A10,BA62A10,1,TRUE
2017-6024,2019-04-06T12:42:02Z,BA62,SJ_Moss_1_J,163.12,163.12,2019UP,NA,37.79,-121.3,4.5,78,GS,1523796,A10,A10,BA62A10,3,FALSE
sm18-7023,2019-04-06T13:44:56Z,BA62,HOR_SM1,159.42,159.42,2019UP,NA,37.8,-121.32,4.5,78,GS,1526920,A11,A11,BA62A11,1,TRUE
sm18-7017,2019-04-06T13:51:25Z,BA62,HOR_SM7,159.42,159.42,2019UP,NA,37.8,-121.32,4.5,78,GS,1527336,A11,A11,BA62A11,54,FALSE
2017-6007,2019-04-06T14:00:59Z,BA62,SJ_HOR_1_J,158.45,158.45,2019UP,NA,37.81,-121.31,4.5,78,GS,1527787,A12,A12,BA62A12,1,TRUE
2015-6004,2019-04-06T14:03:50Z,BA62,SJ_HOR_2_J,158.45,158.45,2019UP,NA,37.81,-121.31,4.5,78,GS,1527938,A12,A12,BA62A12,18,FALSE
2017-6028,2019-04-06T19:14:12Z,BA62,SJ_Howard_2_J,148.16,148.16,2019UP,NA,37.87,-121.33,4.5,78,GS,1540364,A13,A13,BA62A13,1,TRUE
2017-6002,2019-04-06T19:19:15Z,BA62,SJ_Howard_1_J,148.16,148.16,2019UP,NA,37.87,-121.33,4.5,78,GS,1540570,A13,A13,BA62A13,29,FALSE
2017-6004,2019-04-06T21:57:12Z,BA62,SJ_SJG_2_J,140.33,140.33,2019UP,NA,37.93,-121.33,4.5,78,GS,1547414,A14,A14,BA62A14,1,TRUE
2017-6035,2019-04-06T22:04:00Z,BA62,SJ_SJG_4_J,140.23,140.23,2019UP,NA,37.93,-121.33,4.5,78,GS,1547901,A14,A14,BA62A14,49,FALSE
2017-6029,2019-04-11T09:45:23Z,BA62,SJ_JP_3_J,93.74,93.74,2019UP,NA,38.05,-121.68,4.5,78,GS,1775831,A16,A16,BA62A16,1,TRUE
2018-6012,2019-04-11T10:15:22Z,BA62,SJ_JP_5_J,93.04,93.04,2019UP,NA,38.05,-121.69,4.5,78,GS,1776926,A16,A16,BA62A16,226,FALSE
15025,2019-04-12T09:38:35Z,BA62,Chipps1.1,71.72,71.72,2019UP,NA,38.04,-121.9,4.5,78,GS,3614610,A17a,A17,BA62A17a,1,TRUE
15025,2019-04-12T09:48:36Z,BA62,Chipps1.1,71.72,71.72,2019UP,NA,38.04,-121.9,4.5,78,GS,3614689,A17a,A17,BA62A17a,80,FALSE
13071,2019-04-12T09:57:20Z,BA62,Chipps2.1,71.24,71.24,2019UP,NA,38.04,-121.91,4.5,78,GS,3614690,A17b,A17,BA62A17b,1,TRUE
13071,2019-04-12T10:06:41Z,BA62,Chipps2.1,71.24,71.24,2019UP,NA,38.04,-121.91,4.5,78,GS,3614768,A17b,A17,BA62A17b,79,FALSE
Upstream_Release,2019-02-28T16:58:00Z,BA64,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.9,79,NA,NA,REL,REL,BA64REL,1,FALSE
156014,2019-02-28T18:14:30Z,BA64,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.9,79,GS,632,A1,A1,BA64A1,1,TRUE
156014,2019-02-28T18:18:52Z,BA64,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.9,79,GS,2195,A1,A1,BA64A1,32,FALSE
20187021,2019-03-24T05:50:40Z,BA64,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.9,79,GS,754504,A4,A4,BA64A4,1,TRUE
2015-6011,2019-03-24T06:12:01Z,BA64,SJ_Hills_2_J,257.06,257.06,2019UP,NA,37.21,-120.58,4.9,79,GS,755637,A4,A4,BA64A4,71,FALSE
2017-6005,2019-03-25T12:57:01Z,BA64,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.9,79,GS,823866,A5,A5,BA64A5,1,TRUE
18031,2019-03-25T13:07:53Z,BA64,SJ_BlwCrowsLanding_2_J,239.9,239.9,2019UP,NA,37.43,-121.01,4.9,79,GS,824301,A5,A5,BA64A5,73,FALSE
2017-6030,2019-03-26T18:02:02Z,BA64,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.9,79,GS,903152,A6,A6,BA64A6,1,TRUE
2017-6030,2019-03-26T18:06:48Z,BA64,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.9,79,GS,903390,A6,A6,BA64A6,21,FALSE
2017-6020,2019-03-27T06:38:29Z,BA64,SJ_Durhamferry_RelRec_J,183.55,183.55,2019UP,NA,37.68,-121.26,4.9,79,GS,928848,A7,A7,BA64A7,1,TRUE
2017-6020,2019-03-27T06:38:49Z,BA64,SJ_Durhamferry_RelRec_J,183.55,183.55,2019UP,NA,37.68,-121.26,4.9,79,GS,928874,A7,A7,BA64A7,5,FALSE
2015-6001,2019-03-27T07:25:27Z,BA64,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,4.9,79,GS,930955,A8,A8,BA64A8,1,TRUE
2015-6001,2019-03-27T07:29:33Z,BA64,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,4.9,79,GS,931171,A8,A8,BA64A8,14,FALSE
2017-6024,2019-03-27T13:16:08Z,BA64,SJ_Moss_1_J,163.12,163.12,2019UP,NA,37.79,-121.3,4.9,79,GS,950044,A10,A10,BA64A10,1,TRUE
2017-6024,2019-03-27T13:16:23Z,BA64,SJ_Moss_1_J,163.12,163.12,2019UP,NA,37.79,-121.3,4.9,79,GS,950056,A10,A10,BA64A10,4,FALSE
sm18-7013,2019-03-27T14:13:41Z,BA64,HOR_SM2,159.42,159.42,2019UP,NA,37.8,-121.32,4.9,79,GS,953041,A11,A11,BA64A11,1,TRUE
sm18-7017,2019-03-27T14:25:21Z,BA64,HOR_SM7,159.42,159.42,2019UP,NA,37.8,-121.32,4.9,79,GS,953707,A11,A11,BA64A11,102,FALSE
2017-6007,2019-03-27T14:38:48Z,BA64,SJ_HOR_1_J,158.45,158.45,2019UP,NA,37.81,-121.31,4.9,79,GS,954261,A12,A12,BA64A12,1,TRUE
2017-6007,2019-03-27T14:40:54Z,BA64,SJ_HOR_1_J,158.45,158.45,2019UP,NA,37.81,-121.31,4.9,79,GS,954353,A12,A12,BA64A12,6,FALSE
2017-6028,2019-03-28T19:50:31Z,BA64,SJ_Howard_2_J,148.16,148.16,2019UP,NA,37.87,-121.33,4.9,79,GS,1034192,A13,A13,BA64A13,1,TRUE
2017-6002,2019-03-28T19:55:02Z,BA64,SJ_Howard_1_J,148.16,148.16,2019UP,NA,37.87,-121.33,4.9,79,GS,1034400,A13,A13,BA64A13,35,FALSE
2017-6039,2019-03-28T22:30:35Z,BA64,SJ_SJG_1_J,140.33,140.33,2019UP,NA,37.93,-121.33,4.9,79,GS,1038188,A14,A14,BA64A14,1,TRUE
2017-6035,2019-03-28T22:46:16Z,BA64,SJ_SJG_4_J,140.23,140.23,2019UP,NA,37.93,-121.33,4.9,79,GS,1038659,A14,A14,BA64A14,99,FALSE
Upstream_Release,2019-02-28T16:58:00Z,BA65,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.3,77,NA,NA,REL,REL,BA65REL,1,FALSE
156014,2019-02-28T18:14:34Z,BA65,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.3,77,GS,641,A1,A1,BA65A1,1,TRUE
156014,2019-02-28T18:18:46Z,BA65,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.3,77,GS,2149,A1,A1,BA65A1,27,FALSE
2017-6015,2019-03-05T07:10:20Z,BA65,SJ_Hills_1_J,257.23,257.23,2019UP,NA,37.34,-120.97,4.3,77,GS,65007,A4,A4,BA65A4,1,TRUE
2015-6011,2019-03-05T07:16:14Z,BA65,SJ_Hills_2_J,257.06,257.06,2019UP,NA,37.21,-120.58,4.3,77,GS,65083,A4,A4,BA65A4,16,FALSE
Upstream_Release,2019-02-28T16:58:00Z,BA66,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.67,84,NA,NA,REL,REL,BA66REL,1,FALSE
156014,2019-02-28T18:12:50Z,BA66,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.67,84,CH,251,A1,A1,BA66A1,1,TRUE
2017-6031,2019-02-28T18:16:37Z,BA66,SJ_Blw_Release_1_J,270.52,270.52,2019UP,NA,37.31,-120.93,5.67,84,CH,1364,A1,A1,BA66A1,22,FALSE
2017-6013,2019-03-02T08:49:20Z,BA66,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,5.67,84,CH,39439,A3,A3,BA66A3,1,TRUE
2017-6013,2019-03-02T08:49:40Z,BA66,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,5.67,84,CH,39445,A3,A3,BA66A3,3,FALSE
20187021,2019-03-14T10:04:48Z,BA66,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,5.67,84,CH,188289,A4,A4,BA66A4,1,TRUE
2017-6015,2019-03-14T14:52:37Z,BA66,SJ_Hills_1_J,257.23,257.23,2019UP,NA,37.34,-120.97,5.67,84,CH,197099,A4,A4,BA66A4,967,FALSE
Upstream_Release,2019-02-28T16:58:00Z,BA68,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,5.5,83,NA,NA,REL,REL,BA68REL,1,FALSE
156014,2019-03-01T03:25:28Z,BA68,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,5.5,83,GS,19521,A1,A1,BA68A1,1,TRUE
2017-6031,2019-03-01T04:27:58Z,BA68,SJ_Blw_Release_1_J,270.52,270.52,2019UP,NA,37.31,-120.93,5.5,83,GS,20402,A1,A1,BA68A1,48,FALSE
2017-6032,2019-03-17T17:16:23Z,BA68,SJ_Mud_SL_Conf_J,262.39,262.39,2019UP,NA,37.33,-120.95,5.5,83,GS,363951,A2,A2,BA68A2,1,TRUE
2017-6032,2019-03-17T17:17:33Z,BA68,SJ_Mud_SL_Conf_J,262.39,262.39,2019UP,NA,37.33,-120.95,5.5,83,GS,364037,A2,A2,BA68A2,5,FALSE
2017-6013,2019-03-18T06:27:05Z,BA68,SJ_Blw_Newman_1_J,259.39,259.39,2019UP,NA,37.33,-120.97,5.5,83,GS,392508,A3,A3,BA68A3,1,TRUE
2018-6013,2019-03-18T06:44:27Z,BA68,SJ_Blw_Newman_2_J,259.34,259.34,2019UP,NA,37.33,-120.97,5.5,83,GS,393928,A3,A3,BA68A3,105,FALSE
20187021,2019-03-18T08:44:24Z,BA68,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,5.5,83,GS,400992,A4,A4,BA68A4,1,TRUE
2015-6011,2019-03-29T11:30:46Z,BA68,SJ_Hills_2_J,257.06,257.06,2019UP,NA,37.21,-120.58,5.5,83,GS,1070379,A4,A4,BA68A4,4269,FALSE
2017-6005,2019-03-29T18:23:00Z,BA68,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,5.5,83,GS,1086054,A5,A5,BA68A5,1,TRUE
18031,2019-03-29T18:32:33Z,BA68,SJ_BlwCrowsLanding_2_J,239.9,239.9,2019UP,NA,37.43,-121.01,5.5,83,GS,1086385,A5,A5,BA68A5,49,FALSE
156008,2019-03-30T06:00:53Z,BA68,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,5.5,83,GS,1104345,A6,A6,BA68A6,1,TRUE
156008,2019-03-30T06:04:29Z,BA68,SJ_BlwWGrayson_2_J,210.7,210.7,2019UP,NA,37.57,-121.15,5.5,83,GS,1104586,A6,A6,BA68A6,29,FALSE
2015-6001,2019-03-30T15:50:21Z,BA68,SJ_Durhamferry_1_J,181.8,181.8,2019UP,NA,37.69,-121.27,5.5,83,GS,1123905,A8,A8,BA68A8,1,TRUE
2017-6036,2019-03-30T15:52:45Z,BA68,SJ_Durhamferry_2_J,181.8,181.8,2019UP,NA,37.69,121.27,5.5,83,GS,1123991,A8,A8,BA68A8,23,FALSE
2017-6024,2019-03-30T21:11:46Z,BA68,SJ_Moss_1_J,163.12,163.12,2019UP,NA,37.79,-121.3,5.5,83,GS,1131919,A10,A10,BA68A10,1,TRUE
2017-6024,2019-03-30T21:12:31Z,BA68,SJ_Moss_1_J,163.12,163.12,2019UP,NA,37.79,-121.3,5.5,83,GS,1131935,A10,A10,BA68A10,4,FALSE
am18-6006,2019-03-30T22:18:42Z,BA68,HOR_AM2,159.42,159.42,2019UP,NA,37.8,-121.32,5.5,83,GS,1133196,A11,A11,BA68A11,1,TRUE
sm18-7017,2019-03-30T22:26:09Z,BA68,HOR_SM7,159.42,159.42,2019UP,NA,37.8,-121.32,5.5,83,GS,1133463,A11,A11,BA68A11,62,FALSE
2017-6007,2019-03-30T22:41:44Z,BA68,SJ_HOR_1_J,158.45,158.45,2019UP,NA,37.81,-121.31,5.5,83,GS,1133794,A12,A12,BA68A12,1,TRUE
2015-6004,2019-03-30T22:44:04Z,BA68,SJ_HOR_2_J,158.45,158.45,2019UP,NA,37.81,-121.31,5.5,83,GS,1133860,A12,A12,BA68A12,22,FALSE
2017-6028,2019-03-31T02:03:02Z,BA68,SJ_Howard_2_J,148.16,148.16,2019UP,NA,37.87,-121.33,5.5,83,GS,1139036,A13,A13,BA68A13,1,TRUE
2017-6002,2019-03-31T02:07:59Z,BA68,SJ_Howard_1_J,148.16,148.16,2019UP,NA,37.87,-121.33,5.5,83,GS,1139204,A13,A13,BA68A13,28,FALSE
2017-6039,2019-03-31T05:01:33Z,BA68,SJ_SJG_1_J,140.33,140.33,2019UP,NA,37.93,-121.33,5.5,83,GS,1144739,A14,A14,BA68A14,1,TRUE
2017-6035,2019-03-31T05:10:23Z,BA68,SJ_SJG_4_J,140.23,140.23,2019UP,NA,37.93,-121.33,5.5,83,GS,1145020,A14,A14,BA68A14,23,FALSE
2015-6034,2019-04-01T19:44:16Z,BA68,SJ_MAC_1_J,123.23,123.23,2019UP,NA,38.01,-121.46,5.5,83,GS,1247873,A15,A15,BA68A15,1,TRUE
2017-6033,2019-04-02T08:22:46Z,BA68,SJ_MAC_4_J,122.34,122.34,2019UP,NA,38.02,-121.46,5.5,83,GS,1280560,A15,A15,BA68A15,346,FALSE
2017-6029,2019-04-06T12:21:47Z,BA68,SJ_JP_3_J,93.74,93.74,2019UP,NA,38.05,-121.68,5.5,83,GS,1522730,A16,A16,BA68A16,1,TRUE
2017-6052,2019-04-07T07:41:35Z,BA68,SJ_JP_6_J,93.04,93.04,2019UP,NA,38.05,-121.69,5.5,83,GS,1572736,A16,A16,BA68A16,969,FALSE
13008,2019-04-07T22:34:28Z,BA68,Chipps1.4,71.73,71.72,2019UP,NA,38.04,-121.9,5.5,83,GS,3613844,A17a,A17,BA68A17a,1,TRUE
13008,2019-04-07T22:46:03Z,BA68,Chipps1.4,71.73,71.72,2019UP,NA,38.04,-121.9,5.5,83,GS,3613930,A17a,A17,BA68A17a,87,FALSE
13030,2019-04-07T22:48:07Z,BA68,Chipps2.4,71.24,71.24,2019UP,NA,38.04,-121.91,5.5,83,GS,3613931,A17b,A17,BA68A17b,1,TRUE
15015,2019-04-08T02:42:43Z,BA68,Chipps2.3,71.24,71.24,2019UP,NA,38.04,-121.91,5.5,83,GS,3614195,A17b,A17,BA68A17b,265,FALSE
15007,2019-04-08T02:42:44Z,BA68,Chipps1.3,71.73,71.72,2019UP,NA,38.04,-121.9,5.5,83,GS,3614196,A17a,A17,BA68A17a,1,TRUE
15007,2019-04-08T02:42:54Z,BA68,Chipps1.3,71.73,71.72,2019UP,NA,38.04,-121.9,5.5,83,GS,3614197,A17a,A17,BA68A17a,2,FALSE
15015,2019-04-08T02:42:58Z,BA68,Chipps2.3,71.24,71.24,2019UP,NA,38.04,-121.91,5.5,83,GS,3614198,A17b,A17,BA68A17b,1,FALSE
15007,2019-04-08T02:42:59Z,BA68,Chipps1.3,71.73,71.72,2019UP,NA,38.04,-121.9,5.5,83,GS,3614199,A17a,A17,BA68A17a,1,TRUE
13051,2019-04-08T06:59:44Z,BA68,Chipps1.2,71.72,71.72,2019UP,NA,38.04,-121.9,5.5,83,GS,3614363,A17a,A17,BA68A17a,116,FALSE
13071,2019-04-08T07:06:20Z,BA68,Chipps2.1,71.24,71.24,2019UP,NA,38.04,-121.91,5.5,83,GS,3614364,A17b,A17,BA68A17b,1,TRUE
13071,2019-04-08T07:07:46Z,BA68,Chipps2.1,71.24,71.24,2019UP,NA,38.04,-121.91,5.5,83,GS,3614369,A17b,A17,BA68A17b,6,FALSE
Upstream_Release,2019-02-28T16:58:00Z,BA69,Upstream_Release,270.93,270.93,2019UP,NA,37.30895,-120.92954,4.4,76,NA,NA,REL,REL,BA69REL,1,FALSE
156014,2019-02-28T20:01:26Z,BA69,SJ_Blw_Release_2_J,270.57,270.57,2019UP,NA,37.31,-120.93,4.4,76,CH,9789,A1,A1,BA69A1,1,TRUE
2017-6031,2019-02-28T20:03:59Z,BA69,SJ_Blw_Release_1_J,270.52,270.52,2019UP,NA,37.31,-120.93,4.4,76,CH,9874,A1,A1,BA69A1,16,FALSE
2018-6013,2019-03-07T10:11:50Z,BA69,SJ_Blw_Newman_2_J,259.34,259.34,2019UP,NA,37.33,-120.97,4.4,76,CH,73386,A3,A3,BA69A3,1,TRUE
2018-6013,2019-03-07T10:12:46Z,BA69,SJ_Blw_Newman_2_J,259.34,259.34,2019UP,NA,37.33,-120.97,4.4,76,CH,73398,A3,A3,BA69A3,4,FALSE
20187021,2019-03-08T07:01:43Z,BA69,SJ_Hills_RT_2_DS,257.6,257.6,2019UP,NA,37.35,-120.97,4.4,76,CH,79420,A4,A4,BA69A4,1,TRUE
2015-6011,2019-03-31T09:58:16Z,BA69,SJ_Hills_2_J,257.06,257.06,2019UP,NA,37.21,-120.58,4.4,76,CH,1154369,A4,A4,BA69A4,43549,FALSE
2017-6005,2019-03-31T16:42:56Z,BA69,SJ_BlwCrowsLanding_1_J,240.1,240.1,2019UP,NA,37.43,-121.01,4.4,76,CH,1170105,A5,A5,BA69A5,1,TRUE
18031,2019-03-31T16:49:34Z,BA69,SJ_BlwCrowsLanding_2_J,239.9,239.9,2019UP,NA,37.43,-121.01,4.4,76,CH,1170328,A5,A5,BA69A5,32,FALSE
2017-6030,2019-04-01T03:20:08Z,BA69,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.4,76,CH,1191579,A6,A6,BA69A6,1,TRUE
2017-6030,2019-04-01T03:22:29Z,BA69,SJ_BlwWGrayson_1_J,210.7,210.7,2019UP,NA,37.57,-121.15,4.4,76,CH,1191693,A6,A6,BA69A6,20,FALSE
2017-6020,2019-04-01T13:39:49Z,BA69,SJ_Durhamferry_RelRec_J,183.55,183.55,2019UP,NA,37.68,-121.26,4.4,76,CH,1228981,A7,A7,BA69A7,1,TRUE
2017-6020,2019-04-01T13:40:04Z,BA69,SJ_Durhamferry_RelRec_J,183.55,183.55,2019UP,NA,37.68,-121.26,4.4,76,CH,1229001,A7,A7,BA69A7,3,FALSE
