Estimate,s.e.
sA1,0.744889866433,0
sA2,0.693721974012,0
sA3,0.772032528602,0
sA4,0.57095107543,0
sA5,0.619523441427,0
sA6,0.642180482936,0
sA8,0.749077314375,0
sA11,0.650068672231,0
sA12,0.631359004946,0
sA13,0.786706450377,0
sA14,0.707335071109,0
sA15,0.527582209922,0
sA16,0.349946728205,0
sA17,0.852474093708,0
phiB1B2,0.323321033323,0
phiB1C1,0.0422632811736,0
phiB1D1,0.307451196811,0
phiB1E1,0.315164744221,0
psiA1,0.53632350324,0
psiA2,0.71611047073,0
sE1,0.739279055858,0
sE2,0.0648383775675,0
sF1,0.293038132629,0
pA1,0.731603395926,0
pA2,0.222201639647,0
pA3,0.842263221462,0
pA4,0.660318578185,0
pA6,0.714223543378,0
pA8,0.580639045192,0
pA9,0.573369534397,0
pA10,0.497703306521,0
pA12,0.600373453926,0
pA15b,0.598256745,0
pA16a,0.911280340697,0
pA16b,0.911280340697,0
pA17b,0.901137207954,0
pA18a,1.99999980704,0
pA18b,1.99999980704,0
pA19a,0.735232772551,0
pA19b,0.960065172225,0
pB1a,0.466216058799,0
pB1b,0.639928492533,0
pB2,1.08246918335,0
pC1a,0.615748849681,0
pC1b,0.615748849681,0
pD1,0.669747444303,0
pE1a,0.631302451081,0
pE1b,0.906257453529,0
pE2,1.20661904182,0
pF1,-0.626513043666,0
sA19,0.904109548808,0
sA9,0.663097587067,0
