Estimate,s.e.
sA1,0.992640867385,0
sA2,0.977853904975,0
sA3,0.690008571901,0
sA4,0.805880749922,0
sA5,0.593024122865,0
sA6,0.902579488684,0
sA8,0.898083791079,0
sA9,0.928400148526,0
sA10,0.843962806014,0
sA11,1.1057588643,0
sA12,0.97407886835,0
sA13,0.898454611416,0
sA14,0.995851818468,0
sA15,0.818358999869,0
sA16,0.3764152898,0
sA17,0.752936464545,0
phiB1B2,0.131587172445,0
phiB1C1,0.0839941921584,0
phiB1D1,0.155436375265,0
phiB1E1,0.412654321362,0
psiA1,0.355090342807,0
psiA2,2.88750761543,0
sC1,0.420073562325,0
sE1,0.388188738366,0
sE2,0.646798603065,0
sF1,0.248170700075,0
pA1,1.00392925672,0
pA2,0.231524946004,0
pA3,0.782861748611,0
pA4,0.875779517958,0
pA5,1.07262720736,0
pA6,0.983794219008,0
pA8,0.739997483138,0
pA9,0.446324322555,0
pA10,0.669962481353,0
pA12,0.820328208344,0
pA15a,0.882066823921,0
pA15b,0.893671822654,0
pA17b,0.790117611764,0
pA18a,1.99999989369,0
pA18b,1.99999989369,0
pA19a,0.397773520622,0
pA19b,0.980473310364,0
pB1a,0.567344364978,0
pB1b,0.694583944165,0
pB2,1.86291268575,0
pC1a,0.627045629733,0
pC1b,0.627045629733,0
pD1a,0.949573707314,0
pD1b,-5.02791980217,0
pE1a,0.541142694856,0
pE1b,0.997875466688,0
pE2,1.81503905501,0
pA16a,0.869204979091,0
pA16b,0.869204979091,0
sA18,0.927034356236,0
sA19,0.89295147858,0
