Estimate,s.e.
sA1,0.763465254802,0
sA2,0.877233599393,0
sA3,0.766777151547,0
sA4,0.635406066555,0
sA5,0.550507631785,0
sA6,0.542539049974,0
sA8,0.574899813879,0
sA9,0.615542527389,0
sA10,0.619379808893,0
sA11,0.619043606141,0
sA12,0.617096395137,0
sA13,0.945065277239,0
sA14,0.802153409154,0
sA15,0.500305217594,0
sA16,0.387523786669,0
sA17,0.857683533334,0
sA18,0.589555744395,0
sA19,0.953606465947,0
phiB1B2,0.36409714179,0
phiB1C1,0.0567851580906,0
phiB1D1,0.198984281661,0
phiB1E1,0.251297863086,0
psiA1,0.49359622618,0
psiA2,0.623847222367,0
sE1,0.72792096554,0
sE2,0.131071469823,0
sF1,0.363777840691,0
pA1,0.728186585734,0
pA2,0.502085505668,0
pA3,0.666880811218,0
pA4,0.601050438126,0
pA6,0.612565650994,0
pA8,0.500190818348,0
pA9,0.491159470954,0
pA10,0.499702421886,0
pA12,0.616862743051,0
pA13,1.01072126145,0
pA15a,1.77471949064,0
pA15b,0.946301081221,0
pA16a,0.858612217173,0
pA16b,0.858612217173,0
pA17b,0.926124185494,0
pA18a,1.99999974709,0
pA18b,1.99999974709,0
pA19a,0.69027197548,0
pA19b,0.95835379693,0
pB1a,0.459525781164,0
pB1b,0.659703538233,0
pB2,0.881587959584,0
pC1a,0.63705300829,0
pC1b,0.63705300829,0
pD1a,0.851163038102,0
pD1b,-0.429988555613,0
pE1a,0.598933426624,0
pE1b,0.814348511774,0
pE2,1.05166929618,0
pF1,-0.254277919043,0
pA5,0.677135055826,0
sC1,0.128961093212,0
