Estimate,s.e.
sA1,0.830819183687,0
sA2,0.748368676997,0
sA3,0.70995921885,0
sA4,0.646995978723,0
sA5,0.557717343441,0
sA6,0.512603573713,0
sA8,0.651555584451,0
sA9,0.728827382137,0
sA10,0.739444068959,0
sA11,0.735841587427,0
sA12,0.736231297314,0
sA13,0.648860952113,0
sA14,0.61032196543,0
sA15,0.568570567258,0
sA16,0.383468940477,0
sA17,0.991312351037,0
phiB1B2,0.267404834725,0
phiB1C1,0.0635323114173,0
phiB1D1,0.268095452226,0
phiB1E1,0.217177106857,0
psiA1,0.486215922839,0
psiA2,0.588214145893,0
sC1,0.0937757480778,0
sE1,0.736057598922,0
sE2,0.124102703599,0
sF1,0.325305937951,0
pA1,0.793942738273,0
pA2,0.403977032721,0
pA3,0.528315243194,0
pA4,0.57881380366,0
pA5,0.792058601719,0
pA6,0.696582348636,0
pA8,0.489179835133,0
pA9,0.475895084848,0
pA10,0.49933195137,0
pA12,0.56789957481,0
pA17b,0.903160464654,0
pA18a,1.99999984388,0
pA18b,1.99999984388,0
pA19a,0.671207752212,0
pA19b,0.895831076726,0
pB1a,0.487941768704,0
pB1b,0.557968039473,0
pB2,0.923078383799,0
pC1a,0.680673567694,0
pC1b,0.680673567694,0
pD1a,0.614621011355,0
pE1a,0.58413045186,0
pE1b,0.763564045033,0
pE2,1.02726425248,0
pA16a,1.16315068797,0
pA16b,1.16315068797,0
sA18,0.939486012305,0
sA19,0.858887490077,0
pF1,-0.390658290632,0
pA15b,0.700158139163,0
