Estimate,s.e.
sA1,0.779295190112,0
sA2,0.826904482864,0
sA3,0.758527315403,0
sA4,0.581907178322,0
sA5,0.455732007707,0
sA6,0.553624211623,0
sA8,0.597479354851,0
sA9,0.598388072446,0
sA10,0.598304072208,0
sA11,0.601049668799,0
sA12,0.598045459354,0
sA13,0.944435344281,0
sA14,0.950983680409,0
sA15,0.489979051425,0
sA16,0.393976388623,0
sA17,0.920595841015,0
sA18,1.00159295708,0
sA19,0.883873336806,0
phiB1B2,0.414891243745,0
phiB1C1,0.0814347948569,0
phiB1D1,0.152746404242,0
phiB1E1,0.271457042745,0
psiA1,0.508320539652,0
psiA2,0.663472900486,0
sC1,0.168835936714,0
sE1,0.742819339805,0
sE2,0.109323572091,0
sF1,0.363024292324,0
pA1,0.750107055763,0
pA2,0.455286836382,0
pA3,0.723202400501,0
pA4,0.617175850439,0
pA5,0.626368623311,0
pA6,0.601388391118,0
pA8,0.527116634586,0
pA9,0.518665185232,0
pA10,0.499796888824,0
pA12,0.708763157246,0
pA15a,1.94772484663,0
pA15b,0.983679544259,0
pA17b,0.895140114261,0
pA18a,1.9999997882,0
pA18b,1.9999997882,0
pA19a,0.724021895235,0
pA19b,0.947580263754,0
pB1a,0.408391676096,0
pB1b,0.723606086817,0
pB2,0.859989099332,0
pC1a,0.609232771598,0
pC1b,0.609232771598,0
pD1a,0.822678370922,0
pD1b,-0.358823251395,0
pE1a,0.632566742666,0
pE1b,0.880774883349,0
pE2,1.08646893262,0
pF1,-0.177549579221,0
pA16a,0.92824455005,0
pA16b,0.92824455005,0
