Estimate,s.e.
sA1,0.787068436337,0
sA2,0.876354401985,0
sA3,0.758383769753,0
sA4,0.470155470465,0
sA5,0.52250583181,0
sA6,0.501103611503,0
sA8,0.71208102875,0
sA9,0.727399373373,0
sA10,0.72621172058,0
sA11,0.71731958899,0
sA12,0.714390961216,0
sA13,0.731078352729,0
sA14,0.712681873915,0
sA15,0.652615466082,0
sA16,0.438783317633,0
sA17,0.995277243473,0
phiB1B2,0.298819203315,0
phiB1C1,0.0193447545199,0
phiB1D1,0.219383766945,0
phiB1E1,0.287223273312,0
psiA1,0.496995027869,0
psiA2,0.461484350922,0
sC1,0.0629307940981,0
sE1,0.704773557961,0
sE2,0.161173494985,0
sF1,0.279554489011,0
pA1,0.732308299333,0
pA2,0.459478412262,0
pA3,0.763176138947,0
pA4,0.546475798522,0
pA5,0.753444226811,0
pA6,0.708989071876,0
pA8,0.502305653318,0
pA9,0.489104384755,0
pA10,0.498932922595,0
pA12,0.656139134813,0
pA15a,1.72150830769,0
pA15b,0.773752193477,0
pA17b,0.86973656055,0
pA18a,1.99999975462,0
pA18b,1.99999975462,0
pA19a,0.53075192805,0
pA19b,0.695034785819,0
pB1a,0.456716246608,0
pB1b,0.622931703741,0
pB2,0.843268318532,0
pC1a,0.657579919175,0
pC1b,0.657579919175,0
pD1a,0.826320344798,0
pD1b,-0.528559446428,0
pE1a,0.558554578899,0
pE1b,0.706728348013,0
pE2,1.00116828351,0
pF1,-0.457139407985,0
pA16a,1.19113584639,0
pA16b,1.19113584639,0
sA18,0.854676921119,0
