"","V1"
"B1ab",18
"B1a0",2
"B10b",27
"C1ab",2
"C1a0",0
"C10b",0
"E1ab",15
"E1a0",6
"E10b",11
"A15ab",41
"A15a0",2
"A150b",0
"D1ab",0
"D1a0",7
"D10b",0
"A16ab",20
"A16a0",0
"A160b",0
"A17ab",17
"A17a0",1
"A170b",2
"A19ab",10
"A19a0",2
"A190b",6
"A18ab",22
"A18a0",0
"A180b",0
