RecSN,dtf,Hex,GPS Names,rkm,Genrkm,Rel_group,FishID,Lat,Lon,Weight,Length,Surgeon,ID
Downstream_Release,3/12/2019 20:41,BB65,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.3,77,,
Downstream_Release,3/12/2019 20:41,BA9C,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,6.7,88,,
Downstream_Release,3/12/2019 20:41,C16A,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.2,81,,
Downstream_Release,3/12/2019 20:41,C5EA,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.2,82,,
Downstream_Release,3/12/2019 20:41,C654,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.6,82,,
Downstream_Release,3/12/2019 20:41,BAF6,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.7,79,,
Downstream_Release,3/12/2019 20:41,C4A9,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.3,75,,
Downstream_Release,3/12/2019 20:41,BACD,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.2,79,,
Downstream_Release,3/12/2019 20:41,BEA8,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.7,80,,
Downstream_Release,3/12/2019 20:41,BEAC,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,78,,
Downstream_Release,3/12/2019 20:41,BD2E,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,78,,
Downstream_Release,3/12/2019 20:41,CAC6,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,6.4,88,,
Downstream_Release,3/12/2019 20:41,CAC9,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.7,81,,
Downstream_Release,3/12/2019 20:41,CACD,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5,77,,
Downstream_Release,3/12/2019 20:41,CA57,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.2,81,,
Downstream_Release,3/12/2019 20:41,CA12,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.6,77,,
Downstream_Release,3/12/2019 20:41,CAEC,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.4,83,,
Downstream_Release,3/12/2019 20:41,C974,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,6.2,85,,
Downstream_Release,3/12/2019 20:41,CA35,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5,80,,
Downstream_Release,3/12/2019 20:41,C96B,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.3,82,,
Downstream_Release,3/12/2019 20:41,CAC4,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.8,77,,
Downstream_Release,3/12/2019 20:41,C914,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,7,90,,
Downstream_Release,3/12/2019 20:41,C975,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,5.6,84,,
Downstream_Release,3/12/2019 20:41,CBA5,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.9,81,,
Downstream_Release,3/12/2019 20:41,CAAF,Downstream_Release,183.59,183.59,2019DS,,37.68777,-121.26221,4.5,76,,
