GPS Names,SN,Filename,Rec Make,Rec Battery Start,Start Study,End Study,End Time (out of water),Temp Logger SN,Beacon ID,Beacon Burst Rate,Rec Battery End,Battery,BatteryID,Bat life days,BatVoltStart,BatVoltEnd,File Size (KB),Rec Deployment Notes,Detection Notes,Even more comments,Mooring Type,Last valid detection,Data Coverage,Coverage Problem,Recovered by,Deployed by,Rec Time clock set at,Real time (PC) stop at,Rec time stop at,difference between real time - rec time
GG2.5,GG2.5,none,ATS Stock,2/21/2019,2/22/2019 15:33,6/4/2019 10:46,6/4/2019 10:46,,,,,,,100,,,,clock synced- tested with Lotek. UC Davis receiver. Deployed w/ float tube and no fin. ATS gone shackle eroded. No thimble used. JSATS gone. Attached to line with shackle and no thimble. VR2AR came up because of 2 ball floats.,,,,,,,,,,,,
GG3.1,GG3.1,13046___181206_144533.csv,ATSV3.1 no halo,12/6/2018,12/7/2018 22:05,3/21/2019 11:36,3/21/2019 11:36,,,,,,,120,4,,,clock synced- tested with Lotek 00AA- checked card- cleaned all 3 orings. Lots of current ripping though this site. Worked best to communicate ~50m South and West of point,,,,,,,,,,,,
GG3.1,GG3.1,13046___190322_142500.csv,ATS V3.1,6/3/2019,6/4/2019 14:00,8/6/2019 12:10,8/6/2019 12:10,,,,,,,100,"4.0, 4.0, 4.0, 4.0",3.58,,"clock synced, tested with lotek 0088, checked card, updated firmate from 2.8 to 2.82, pressure test. Vemco downloaded and Batt 80%",,,,,,,,,,,,
GG3.1,GG3.1,13026___190308_135123,ATS V3.1,3/8/2019,3/21/2019 12:20,6/4/2019 13:50,6/4/2019 13:50,,,,,,,90,"4.05, 4.05, 4.05",3.7,,"clock synced, tested with lotek 00AA, checked card, updated firmate from 2.8 to 2.82, pressure test. New batt in Vemco reciever. Swapped out 547177. Deployed reciever ~20m east of waypoint. Used JSATS #1 GPS",,,,,,,,,,,,
GG4,GG4,15015___181206_133107.csv,ATSV3.0 no halo,12/6/2018,12/7/2018 21:36,2/22/2019 16:22,2/22/2019 16:22,,,,,,,120,4.01,,,clock synced- tested with Lotek 00AA- checked card- cleaned all 3 orings. Dropped 150m East of GG4 waypoint. Took 4 tries to find. Worked better when D/S,,,,,,,,,,,,
GG4,GG4,15043___190208_101419.csv,ATS V3.0,2/20/2019,2/22/2019 16:41,6/5/2019 8:36,6/5/2019 8:36,,,,,,,100,4.02- 4.02- 4.00- 4.02,3.43,,updated from 2.8 to 2.82- clock synced- tested with Lotek 00AA- checked card- vacuum test,,,,,,,,,,,,
GG4,GG4,15012___190604_180224.csv,ATS 3.0,6/4/2019,6/5/2019 8:59,8/6/2019 12:58,8/6/2019 12:58,,,,,,,100,,3.58,,New batteries in ATS and redeployed. Vemco downloaded and Batt 80%,,,,,,,,,,,,
GG5.1,GG5.1,15020___190208_110610.csv,ATS V3.0,2/20/2019,2/22/2019 16:13,6/5/2019 9:06,6/5/2019 9:06,,,,,,,100,4.00- 4.03- 4.02- 4.01,3.50,,updated from 2.8 to 2.82- clock synced- tested with Lotek 00AA- checked card- vacuum test. Current ripping through site,,,,,,,,,,,,
GG5.1,GG5.1,15007___181206_152134.csv,ATSV3.0  no halo,12/6/2018,12/7/2018 20:53,2/22/2019 16:52,2/22/2019 16:52,,,,,,,100,4.0- 4.01,,,clock synced- tested with Lotek 00AA- checked card- cleaned all 3 orings.,,,,,,,,,,,,
GG5.1,GG5.1,13026___190604_175357.csv,ATS 3.0,6/4/2019,6/5/2019 9:26,8/7/2019 11:50,8/7/2019 11:50,,,,,,,100,4.0,3.74,,New batteries in ATS and redeployed. Vemco downloaded and Batt 80%,,,,,,,,,,,,
GG6,GG6,13034___190220_134555.csv,ATS V3.1,2/20/2019,2/22/2019 13:54,6/4/2019 12:10,6/4/2019 12:10,,,,,,,100,4.04- 4.02- 4.04- 3.95,3.49,,updated from 2.8 to 2.82- clock synced- tested with Lotek 00AA- checked card- vacuum test.,,,,,,,,,,,,
GG6,GG6,15025___181206_123724.csv,ATSV3.0 no halo,12/6/2018,12/7/2018 11:30,2/22/2019 13:11,2/22/2019 13:11,,,,,,,120,4.05,,,clock synced- tested with Lotek 00AA- checked card- cleaned all 3 orings. Vemco bat ~50%,,,,,,,,,,,,
GG6,GG6,13045___190322_113712.csv,ATS V3.1,6/3/2019,6/4/2019 12:05,8/6/2019 10:10,8/6/2019 10:10,,,,,,,90,"4.0, 4.0, 4.0",3.74,,"clock synced, tested with lotek 00AA, checked card, updated firmate from 2.8 to 2.82, pressure test. Vemco downloaded and Batt 80%",,,,,,,,,,,,
GG6.5,GG6.5,SR18153_190221_184438.csv,ATS Stock,2/21/2019,2/22/2019 14:15,6/4/2019 11:15,6/4/2019 11:15,,,,,,,100,3.27,2.47,,clock synced- tested with Lotek. UC Davis receiver. Deployed w/ float tube and no fin,,,,,,,,,,,,
GG7,GG7,15012___190208_094108.csv,ATS V3.0,2/20/2019,2/22/2019 12:42,6/4/2019 12:45,6/4/2019 12:45,,,,,,,100,4.04- 4.00- 4.02- 4.05,3.47,,updated from 2.8 to 2.82- clock synced- tested with Lotek 00AA- checked card- vacuum test. could not communicate with receiver previously deployed at this site. Deployed this one on top of the other,,,,,,,,,,,,
GG7,GG7,13018___181206_151225.csv,ATS V3.1,12/6/2018,12/7/2018 14:14,3/21/2019 12:30,3/21/2019 12:30,,,,,,,120,4.01,3.71,,"clock synced- tested with Lotek 00AA- checked card- cleaned all 3 orings. Deployed reciever ~ 50m East of GPS point vemco bat ~ 50%. Communicated with reciever on 1st try during slack tide, could not communicate on previous tries during moving tide. Vemco 547182 removed from site.",,,,,,,,,,,,
GG7,GG7,13058___190327_124748,ATS V3.1,6/3/2019,6/4/2019 13:15,8/7/2019 11:10,8/7/2019 11:10,,,,,,,120,"4.0, 4.0, 4.0, 4.0",3.75,,"clock synced, tested with lotek 00AA, checked card, updated firmate from 2.8 to 2.82, pressure test. Vemco downloaded and Batt 80%. Damaged Hydrophone",,,,,,,,,,,,
GG7.2,GG7.2,SR19008_190221_183439.csv,ATS Stock,2/21/2019,2/22/2019 13:03,6/4/2019 13:27,6/4/2019 13:27,,,,,,,100,3.17,2.49,,clock synced- tested with Lotek. new location for 2019. Deployed UC Davis ATS stock receiver,,,,,,,,,,,,
GG7.5,GG7.5,15045___190208_103730.csv,ATS V3.0,2/20/2019,2/22/2019 11:20,6/4/2019 14:35,6/4/2019 14:35,,,,,,,100,3.97- 3.98- 4.00- 4.00,3.44,,updated from 2.8 to 2.82- clock synced- tested with Lotek 00AA- checked card- vacuum test. installed new hardwear (bolts/nuts) on fin strap. New vemco AR/new batts,,,,,,,,,,,,
GG7.5,GG7.5,13008___181206_141801.csv,ATS V3.1,12/6/2018,12/7/2018 13:49,2/22/2019 10:45,2/22/2019 10:45,,,,,,,120,4.01,,,clock synced- tested with Lotek 00AA- checked card- cleaned all 3 orings. Deployed ~70m from site vemco bat ~50%,,,,,,,,,,,,
GG7.5,GG7.5,16008___190328_094156.csv,ATS V3.1,6/3/2019,6/4/2019 14:55,8/7/2019 10:50,8/7/2019 10:50,,,,,,,100,"4.0, 4.0, 4.0, 4.0",3.58,,"clock synced, tested with lotek 00AA, checked card, updated firmware from 2.8 to 2.82. Vemco downloaded and Batt 80%",,,,,,,,,,,,
GG8,GG8,15006___190208_124546.csv,ATS V3.0,2/20/2019,2/22/2019 10:38,6/5/2019 9:35,6/5/2019 9:35,,,,,,,100,4.00- 3.99- 4.00- 4.02,3.34,,"updated from 2.8 to 2.82- clock synced- tested with Lotek 00AA- checked card- vacuum test. new Vemco AR, new battery. New anti seize on bolt",,,,,,,,,,,,
GG8,GG8,13051___181206_135947.csv,ATSV3.1 no halo,12/6/2018,12/7/2018 13:24,2/22/2019 22:03,2/22/2019 22:03,,,,,,,120,4.02,,,clock synced- tested with Lotek 00AA- checked card- cleaned all 3 orings. Dropped ~50m to east of waypoint,,,,,,,,,,,,
GG8,GG8,13034___190604_181747.csv,ATS 3.1,6/4/2019,6/5/2019 9:54,8/7/2019 10:30,8/7/2019 10:30,,,,,,,100,4.0,3.75,,New batteries in ATS and redeployed. Vemco downloaded and Batt 80%,,,,,,,,,,,,
GG9,GG9,15011___190208_115443.csv,ATS V3.0,2/20/2019,2/22/2019 9:55,6/5/2019 10:02,6/5/2019 10:02,,,,,,,100,4.03- 4.00- 4.01- 4.02,3.45,,updated from 2.8 to 2.82- clock synced- tested with Lotek 00AA- checked card- vacuum test. swapped Vemco AR. New battery installed 19 Feb 2019. re-used mooring and fin from old set-up,,,,,,,,,,,,
GG9,GG9,13055___181206_120004.csv,ATSV3.1 no halo,12/6/2018,12/7/2018 12:58,2/22/2019 9:10,2/22/2019 9:10,,,,,,,120,4.04,,,"clock synced- tested with Lotek 00AA- checked card- cleaned all 3 orings. Vemco bat ~50%, droppe receiver ~30m from GPS point",,,,,,,,,,,,
GG9,GG9,15045___190604_182556.csv,ATS V3.0,6/4/2019,6/5/2019 10:17,8/7/2019 10:20,8/7/2019 10:20,,,,,,,100,4.0,3.46,,New Batteries in ATS and redeployed. Vemco downloaded and Batt 80%,,,,,,,,,,,,
